Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Price,BHK
0,0,1,Furnished,850,60,2
1,0,0,Unfurnished,1700,198,4
1,0,0,Unfurnished,810,73,2
1,0,0,Unfurnished,816,81.9,2
0,1,0,Semi-Furnished,852,67,2
1,0,0,Unfurnished,510,37,1
0,1,0,Semi-Furnished,855,58.2,2
0,1,0,Semi-Furnished,856,80,2
1,0,0,Unfurnished,1744,178,4
1,0,0,Unfurnished,820,68,2
0,1,0,Semi-Furnished,1679,180,4
0,1,0,Semi-Furnished,1368,125,3
0,0,1,Furnished,1268,190,3
1,0,0,Unfurnished,820,63.2,2
0,0,1,Furnished,850,95,2
1,0,0,Unfurnished,822,75.7,2
1,0,0,Unfurnished,1744,205,4
1,0,0,Unfurnished,826,70,2
0,0,1,Furnished,1330,171,3
0,1,0,Semi-Furnished,860,49,2
0,1,0,Semi-Furnished,510,41,1
0,1,0,Semi-Furnished,862,92.7,2
0,1,0,Semi-Furnished,880,65.7,2
0,1,0,Semi-Furnished,884,80,2
1,0,0,Unfurnished,830,70,2
1,0,0,Unfurnished,830,63,2
0,1,0,Semi-Furnished,1395,140,3
1,0,0,Unfurnished,830,65.5,2
1,0,0,Unfurnished,511,43.5,1
1,0,0,Unfurnished,830,62,2
1,0,0,Unfurnished,512,48.9,1
1,0,0,Unfurnished,521,47,1
1,0,0,Unfurnished,831,78,2
0,1,0,Semi-Furnished,522,42,1
0,0,1,Furnished,1360,190,3
1,0,0,Unfurnished,534,44.6,1
1,0,0,Unfurnished,1770,195,4
1,0,0,Unfurnished,536,45.5,1
1,0,0,Unfurnished,540,36,1
0,0,1,Furnished,2000,195,4
1,0,0,Unfurnished,540,37,1
1,0,0,Unfurnished,832,90,2
0,1,0,Semi-Furnished,900,100,2
1,0,0,Unfurnished,832,70.1,2
1,0,0,Unfurnished,1817,220,4
1,0,0,Unfurnished,833,93,2
1,0,0,Unfurnished,835,76.5,2
1,0,0,Unfurnished,1911,185,4
1,0,0,Unfurnished,835,82.8,2
1,0,0,Unfurnished,836,67,2
1,0,0,Unfurnished,836,65,2
1,0,0,Unfurnished,839,86,2
1,0,0,Unfurnished,1911,200,4
1,0,0,Unfurnished,840,78,2
1,0,0,Unfurnished,840,74,2
1,0,0,Unfurnished,540,39.5,1
0,1,0,Semi-Furnished,920,110,2
0,1,0,Semi-Furnished,550,42,1
0,1,0,Semi-Furnished,1911,210,4
1,0,0,Unfurnished,2267,220,4
1,0,0,Unfurnished,2550,180,4
1,0,0,Unfurnished,842,78,2
1,0,0,Unfurnished,845,80.8,2
1,0,0,Unfurnished,2260,238,5
0,1,0,Semi-Furnished,926,88,2
1,0,0,Unfurnished,845,95,2
1,0,0,Unfurnished,555,33,1
0,1,0,Semi-Furnished,930,95,2
1,0,0,Unfurnished,555,35.1,1
1,0,0,Unfurnished,845,93,2
1,0,0,Unfurnished,845,82,2
1,0,0,Unfurnished,845,80.8,2
1,0,0,Unfurnished,850,82,2
0,0,1,Furnished,570,34,1
0,0,1,Furnished,1919,249,4
1,0,0,Unfurnished,850,90,2
0,1,0,Semi-Furnished,2386,250,4
0,0,1,Furnished,570,48.6,1
1,0,0,Unfurnished,850,69,2
1,0,0,Unfurnished,587,34,1
0,1,0,Semi-Furnished,931,72,2
1,0,0,Unfurnished,850,65,2
1,0,0,Unfurnished,587,41,1
1,0,0,Unfurnished,850,69,2
0,0,1,Furnished,591,50.8,1
1,0,0,Unfurnished,4498,546,6
1,0,0,Unfurnished,850,68,2
1,0,0,Unfurnished,850,75,2
1,0,0,Unfurnished,1374,166,3
1,0,0,Unfurnished,855,68,2
0,1,0,Semi-Furnished,630,35,1
0,0,1,Furnished,950,80,2
1,0,0,Unfurnished,856,70,2
1,0,0,Unfurnished,856,76,2
1,0,0,Unfurnished,637,34,1
1,0,0,Unfurnished,860,73,2
1,0,0,Unfurnished,640,34,1
0,1,0,Semi-Furnished,1500,140,3
0,1,0,Semi-Furnished,940,120,2
1,0,0,Unfurnished,1380,160,3
0,1,0,Semi-Furnished,940,98,2
1,0,0,Unfurnished,640,47.8,1
1,0,0,Unfurnished,640,33.9,1
0,1,0,Semi-Furnished,1003,60,2
1,0,0,Unfurnished,641,35,1
1,0,0,Unfurnished,1450,120,3
1,0,0,Unfurnished,643,45,1
0,1,0,Semi-Furnished,1531,150,3
1,0,0,Unfurnished,645,41,1
1,0,0,Unfurnished,650,35,1
0,1,0,Semi-Furnished,1007,62,2
0,1,0,Semi-Furnished,1017,61.1,2
1,0,0,Unfurnished,650,37,1
1,0,0,Unfurnished,1450,165,3
1,0,0,Unfurnished,651,34,1
1,0,0,Unfurnished,867,71.8,2
0,1,0,Semi-Furnished,675,35,1
0,1,0,Semi-Furnished,1020,60,2
1,0,0,Unfurnished,875,102,2
1,0,0,Unfurnished,675,46,1
0,1,0,Semi-Furnished,1040,121,2
1,0,0,Unfurnished,875,95,2
0,1,0,Semi-Furnished,1050,72,2
1,0,0,Unfurnished,885,99,2
0,1,0,Semi-Furnished,679,35,1
0,1,0,Semi-Furnished,680,34,1
1,0,0,Unfurnished,893,77,2
1,0,0,Unfurnished,900,68.1,2
1,0,0,Unfurnished,900,79,2
1,0,0,Unfurnished,900,60,2
1,0,0,Unfurnished,698,38.9,1
1,0,0,Unfurnished,902,102,2
1,0,0,Unfurnished,700,35,1
0,1,0,Semi-Furnished,1558,120,3
0,1,0,Semi-Furnished,1063,120,2
1,0,0,Unfurnished,902,74.4,2
1,0,0,Unfurnished,700,36,1
1,0,0,Unfurnished,939,105,2
1,0,0,Unfurnished,939,60,2
0,1,0,Semi-Furnished,1090,77,2
1,0,0,Unfurnished,940,81,2
1,0,0,Unfurnished,943,83,2
1,0,0,Unfurnished,950,63,2
0,1,0,Semi-Furnished,700,37.3,1
1,0,0,Unfurnished,705,35,1
1,0,0,Unfurnished,950,62,2
1,0,0,Unfurnished,956,95.7,2
1,0,0,Unfurnished,710,34,1
1,0,0,Unfurnished,964,75,2
1,0,0,Unfurnished,710,52,1
0,1,0,Semi-Furnished,1090,71,2
0,1,0,Semi-Furnished,1112,72,2
1,0,0,Unfurnished,970,87,2
1,0,0,Unfurnished,999,60,2
1,0,0,Unfurnished,1011,72,2
1,0,0,Unfurnished,1016,110,2
0,0,1,Furnished,1335,120,2
1,0,0,Unfurnished,1031,73,2
1,0,0,Unfurnished,720,60,1
1,0,0,Unfurnished,1040,87,2
1,0,0,Unfurnished,1489,143,3
0,0,1,Furnished,1380,167,3
1,0,0,Unfurnished,1047,85,2
1,0,0,Unfurnished,1050,120,2
1,0,0,Unfurnished,1087,69,2
1,0,0,Unfurnished,810,65,1
1,0,0,Unfurnished,1126,80,2
1,0,0,Unfurnished,1150,78,2
1,0,0,Unfurnished,1150,76.5,2
1,0,0,Unfurnished,1150,82,2
1,0,0,Unfurnished,1163,82,2
1,0,0,Unfurnished,1530,132,3
1,0,0,Unfurnished,1209,82,2
0,1,0,Semi-Furnished,1197,70,2
1,0,0,Unfurnished,1232,102,2
1,0,0,Unfurnished,1280,100,2
1,0,0,Unfurnished,1350,75,2
0,1,0,Semi-Furnished,1200,91,2
1,0,0,Unfurnished,1530,132,3
1,0,0,Unfurnished,1780,131,3
0,1,0,Semi-Furnished,1300,100,2
